endpoint,method,num_fields,name_hash,category
profiles,POST,8,68,User Management API
employees,GET,3,79,User Management API
customers,GET,7,97,User Management API
customers,GET,10,97,User Management API
accounts,GET,3,64,User Management API
members,DELETE,3,47,User Management API
accounts,GET,10,64,User Management API
members,GET,3,47,User Management API
accounts,GET,8,64,User Management API
users,POST,2,62,User Management API
customers,POST,6,97,User Management API
members,POST,10,47,User Management API
users,PUT,10,62,User Management API
employees,POST,3,79,User Management API
customers,POST,7,97,User Management API
users,GET,2,62,User Management API
customers,POST,9,97,User Management API
employees,DELETE,7,79,User Management API
members,DELETE,7,47,User Management API
profiles,POST,4,68,User Management API
employees,POST,3,79,User Management API
customers,PUT,10,97,User Management API
members,PUT,9,47,User Management API
profiles,GET,3,68,User Management API
customers,DELETE,4,97,User Management API
profiles,POST,9,68,User Management API
members,GET,3,47,User Management API
customers,PUT,7,97,User Management API
employees,PUT,9,79,User Management API
customers,DELETE,3,97,User Management API
users,PUT,9,62,User Management API
employees,GET,2,79,User Management API
employees,PUT,9,79,User Management API
profiles,DELETE,7,68,User Management API
users,DELETE,7,62,User Management API
accounts,GET,9,64,User Management API
users,POST,6,62,User Management API
accounts,POST,8,64,User Management API
members,DELETE,3,47,User Management API
accounts,DELETE,8,64,User Management API
customers,PUT,4,97,User Management API
members,PUT,8,47,User Management API
profiles,DELETE,5,68,User Management API
accounts,GET,4,64,User Management API
accounts,POST,5,64,User Management API
users,DELETE,4,62,User Management API
profiles,PUT,2,68,User Management API
accounts,DELETE,10,64,User Management API
profiles,PUT,4,68,User Management API
employees,GET,9,79,User Management API
employees,DELETE,8,79,User Management API
members,DELETE,3,47,User Management API
members,DELETE,2,47,User Management API
accounts,GET,5,64,User Management API
members,POST,3,47,User Management API
profiles,GET,3,68,User Management API
users,POST,10,62,User Management API
users,PUT,2,62,User Management API
users,POST,8,62,User Management API
accounts,PUT,7,64,User Management API
customers,PUT,9,97,User Management API
users,GET,9,62,User Management API
members,DELETE,9,47,User Management API
profiles,GET,4,68,User Management API
users,PUT,6,62,User Management API
members,POST,10,47,User Management API
users,POST,10,62,User Management API
profiles,POST,10,68,User Management API
users,PUT,3,62,User Management API
employees,PUT,10,79,User Management API
profiles,POST,7,68,User Management API
accounts,PUT,5,64,User Management API
customers,POST,5,97,User Management API
members,POST,5,47,User Management API
customers,DELETE,7,97,User Management API
employees,GET,2,79,User Management API
profiles,DELETE,6,68,User Management API
accounts,PUT,9,64,User Management API
employees,PUT,7,79,User Management API
users,POST,3,62,User Management API
items,DELETE,5,46,Product API
catalog,POST,9,31,Product API
categories,GET,9,62,Product API
skus,PUT,3,54,Product API
skus,GET,8,54,Product API
skus,POST,9,54,Product API
items,DELETE,7,46,Product API
products,DELETE,9,84,Product API
inventory,GET,4,6,Product API
items,POST,2,46,Product API
items,DELETE,4,46,Product API
categories,DELETE,7,62,Product API
items,POST,2,46,Product API
products,GET,10,84,Product API
skus,POST,8,54,Product API
items,POST,2,46,Product API
catalog,POST,6,31,Product API
categories,POST,7,62,Product API
catalog,DELETE,4,31,Product API
products,PUT,9,84,Product API
skus,DELETE,10,54,Product API
items,POST,10,46,Product API
categories,GET,9,62,Product API
items,GET,4,46,Product API
items,POST,9,46,Product API
categories,GET,10,62,Product API
products,PUT,10,84,Product API
categories,DELETE,3,62,Product API
categories,GET,5,62,Product API
items,PUT,2,46,Product API
products,DELETE,10,84,Product API
products,GET,9,84,Product API
catalog,POST,6,31,Product API
inventory,DELETE,10,6,Product API
items,PUT,10,46,Product API
items,DELETE,4,46,Product API
inventory,GET,8,6,Product API
inventory,PUT,3,6,Product API
skus,POST,8,54,Product API
products,POST,6,84,Product API
products,POST,7,84,Product API
items,PUT,4,46,Product API
inventory,POST,3,6,Product API
inventory,DELETE,4,6,Product API
skus,POST,4,54,Product API
skus,DELETE,10,54,Product API
inventory,PUT,8,6,Product API
items,PUT,7,46,Product API
products,PUT,2,84,Product API
catalog,DELETE,9,31,Product API
skus,GET,8,54,Product API
catalog,PUT,10,31,Product API
products,GET,5,84,Product API
products,GET,6,84,Product API
catalog,GET,4,31,Product API
catalog,POST,8,31,Product API
skus,PUT,8,54,Product API
items,DELETE,7,46,Product API
products,PUT,2,84,Product API
skus,POST,8,54,Product API
products,PUT,2,84,Product API
skus,GET,6,54,Product API
products,POST,3,84,Product API
catalog,GET,9,31,Product API
products,PUT,10,84,Product API
inventory,PUT,4,6,Product API
products,POST,3,84,Product API
items,PUT,2,46,Product API
items,POST,6,46,Product API
skus,PUT,10,54,Product API
items,PUT,9,46,Product API
categories,POST,6,62,Product API
catalog,GET,6,31,Product API
products,GET,2,84,Product API
skus,POST,10,54,Product API
inventory,POST,9,6,Product API
products,DELETE,9,84,Product API
categories,DELETE,10,62,Product API
catalog,POST,5,31,Product API
